trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2023-10-05,2023-10-04,sell,URA.US,25.03000069,0.01539729273,0.3853942476,hysteresis,30,26,0.07517181909,41,-0.01804123986,0.2207903453
2023-10-05,2023-10-04,buy,XLC.US,65.72000122,0.005864185035,0.3853942476,entry,1,1,,,,
2023-10-19,2023-10-18,sell,SMH.US,147.25,0.002152474791,0.316951913,weak,36,35,0.01349030769,16,-0.02154305024,0.06036206675
2023-10-19,2023-10-18,buy,XLE.US,45.81999969,0.006917326825,0.316951913,entry,1,2,,,,
2023-10-27,2023-10-26,sell,CIBR.US,44.04000092,0.00690970083,0.3043032309,hysteresis,28,27,-0.02695531267,24,-0.03866548972,0.03954929257
2023-10-27,2023-10-26,sell,XLC.US,63.38000107,0.005864185035,0.3716720538,weak,32,32,-0.03560560117,22,-0.04412662009,0.0480066756
2023-10-27,2023-10-26,sell,XLE.US,43.31000137,0.006917326825,0.2995894343,hysteresis,25,21,-0.05477953597,8,-0.063182027,0.01003926424
2023-10-27,2023-10-26,buy,XLU.US,29.79999924,0.01091235731,0.3251882396,entry,1,3,,,,
2023-10-27,2023-10-26,buy,URA.US,26,0.01250723999,0.3251882396,entry,2,1,,,,
2023-10-27,2023-10-26,buy,KIE.US,42.68000031,0.007619218306,0.3251882396,entry,3,2,,,,
2023-11-06,2023-11-03,sell,XLU.US,30.98500061,0.01091235731,0.338119398,hysteresis,27,26,0.03976514777,10,-0.01795301547,0.05117454916
2023-11-06,2023-11-03,sell,KIE.US,43.52000046,0.007619218306,0.3315883842,hysteresis,29,28,0.01968135301,10,-0.02624177422,0.02413305464
2023-11-06,2023-11-03,buy,DTCR.US,13.31999969,0.02513918159,0.3348538911,entry,1,1,,,,
2023-11-06,2023-11-03,buy,KRE.US,43.65000153,0.007671337444,0.3348538911,entry,2,2,,,,
2023-11-07,2023-11-06,sell,URA.US,26.18000031,0.01250723999,0.3274395467,weak,36,34,0.006923088661,11,-0.0303846506,0.06346152379
2023-11-07,2023-11-06,buy,SMH.US,149.6600037,0.002187889474,0.3274395467,entry,1,1,,,,
2023-11-13,2023-11-10,sell,KRE.US,41.15000153,0.007671337444,0.3156755475,weak,30,30,-0.05727376661,7,-0.06552120299,0.005727376661
2023-11-13,2023-11-10,buy,XLK.US,89.38500214,0.003531638865,0.3156755475,entry,1,2,,,,
2023-11-28,2023-11-27,sell,SMH.US,160.8600006,0.002187889474,0.3519439021,weak,35,35,0.07483627338,21,-0.002338674963,0.1054389843
2023-11-28,2023-11-27,buy,SIL.US,26.85000038,0.01310778015,0.3519439021,entry,1,1,,,,
2023-12-04,2023-12-01,sell,XLK.US,91.86499786,0.003531638865,0.3244339968,weak,33,33,0.02774509893,21,-0.005873485633,0.04547736997
2023-12-04,2023-12-01,buy,KBE.US,41.61999893,0.007795146687,0.3244339968,entry,2,2,,,,
2023-12-07,2023-12-06,sell,SIL.US,27.21999931,0.01310778015,0.3567937667,hysteresis,28,21,0.01378022073,9,-0.006703921885,0.055121025
2023-12-07,2023-12-06,buy,KRE.US,47.74000168,0.007473685677,0.3567937667,entry,1,1,,,,
2023-12-08,2023-12-07,sell,DTCR.US,14.18000031,0.02513918159,0.3564736026,hysteresis,26,22,0.06456461187,32,-0.02327323371,0.08333338106
2023-12-08,2023-12-07,buy,XHB.US,87.33999634,0.004081447419,0.3564736026,entry,3,3,,,,
2023-12-26,2023-12-22,sell,KBE.US,45.97999954,0.007795146687,0.3584208411,hysteresis,27,23,0.1047573456,22,-0.002883203627,0.1386352861
2023-12-26,2023-12-22,sell,KRE.US,52.50999832,0.007473685677,0.3924432223,hysteresis,23,21,0.09991613899,19,-0.003351483908,0.1409719167
2023-12-26,2023-12-22,buy,SIL.US,29.03000069,0.01293255332,0.3754320317,entry,1,1,,,,
2023-12-26,2023-12-22,buy,XME.US,61.04999924,0.006149582906,0.3754320317,entry,2,2,,,,
2024-01-03,2024-01-02,sell,SIL.US,27.20999908,0.01293255332,0.351894764,weak,35,34,-0.06269381878,8,-0.04719258721,0.01687908231
2024-01-03,2024-01-02,buy,XBI.US,89.56999969,0.00392871235,0.351894764,entry,1,1,,,,
2024-01-05,2024-01-04,sell,XHB.US,91.30000305,0.004081447419,0.3726361618,hysteresis,24,23,0.04534012915,28,0,0.1096863091
2024-01-05,2024-01-04,sell,XME.US,58.06000137,0.006149582906,0.357044792,hysteresis,23,25,-0.0489762146,10,-0.05389026956,0.01228501244
2024-01-05,2024-01-04,buy,XLV.US,138.9199982,0.002626263185,0.3648404769,entry,1,2,,,,
2024-01-05,2024-01-04,buy,SHLD.US,28.02000046,0.01302071631,0.3648404769,entry,3,5,,,,
2024-01-12,2024-01-11,sell,SHLD.US,28.5,0.01302071631,0.3710904148,hysteresis,28,23,0.01713060437,7,-0.007209124233,0.01570301997
2024-01-12,2024-01-11,buy,CIBR.US,54.72999954,0.006780384028,0.3710904148,entry,1,1,,,,
2024-01-18,2024-01-17,sell,XBI.US,88.77999878,0.00392871235,0.3487910776,hysteresis,24,23,-0.008819927634,15,-0.02913922763,0.053031149
2024-01-18,2024-01-17,buy,URA.US,30.98999977,0.0112549558,0.3487910776,entry,2,2,,,,
2024-01-22,2024-01-19,sell,XLV.US,139.5800018,0.002626263185,0.3665738202,hysteresis,31,28,0.004750962214,17,-0.01007769878,0.01900373902
2024-01-22,2024-01-19,buy,SMH.US,188.8099976,0.001941495816,0.3665738202,entry,1,1,,,,
2024-01-23,2024-01-22,sell,URA.US,29.71999931,0.0112549558,0.3344972786,weak,33,29,-0.04098097667,5,-0.04775732666,0.001613460625
2024-01-23,2024-01-22,buy,XSD.US,225.9799957,0.001480207474,0.3344972786,entry,2,2,,,,
2024-01-29,2024-01-26,sell,XSD.US,217.3300018,0.001480207474,0.321693493,weak,36,33,-0.03827769741,6,-0.04212757409,0.01199224164
2024-01-29,2024-01-26,buy,XES.US,84.23000336,0.003819226881,0.321693493,entry,1,3,,,,
2024-02-02,2024-02-01,sell,XES.US,80.69000244,0.003819226881,0.3081734263,weak,41,41,-0.04202779027,4,-0.04570825062,0.007004586423
2024-02-02,2024-02-01,buy,URA.US,32.09000015,0.009603409937,0.3081734263,entry,1,1,,,,
